id,name,category,primary_muscles,description,progression_1,progression_2,progression_3
1,Wall Push-Up,push,"[chest, anterior deltoids, triceps]",Stand facing a wall with hands at shoulder height and push your body away from the wall.,Wall Push-Up,Incline Push-Up (counter height),Incline Push-Up (low surface)
2,Standard Push-Up,push,"[chest, triceps, anterior deltoids]","From a high plank, lower your chest to the floor and push back up while maintaining a straight body line.",Knee Push-Up,Standard Push-Up,Slow Tempo Push-Up (3s eccentric)
3,Wide Push-Up,push,"[chest, anterior deltoids]","Hands placed significantly wider than shoulder-width apart, shifting emphasis to the outer chest.",Wide Incline Push-Up,Wide Push-Up,Wide Decline Push-Up
4,Diamond Push-Up,push,"[triceps, inner chest, anterior deltoids]","Hands placed together forming a diamond shape, dramatically increasing triceps activation.",Incline Diamond Push-Up,Diamond Push-Up,Decline Diamond Push-Up
5,Decline Push-Up,push,"[upper chest, anterior deltoids, triceps]","Feet elevated on a bench with hands on the floor, shifting more weight onto the upper chest and shoulders.",Low Elevation Decline Push-Up,Bench-Height Decline Push-Up,High Elevation Decline Push-Up
6,Archer Push-Up,push,"[chest, triceps, anterior deltoids]","From a wide hand position, lower your chest toward one hand while the opposite arm straightens to the side.",Incline Archer Push-Up,Floor Archer Push-Up,Archer Push-Up with Minimal Assist
7,Typewriter Push-Up,push,"[chest, triceps, anterior deltoids, core]","From the bottom of a wide push-up, move your chest horizontally from one hand to the other without rising.",Partial Range Typewriter Push-Up,Full Typewriter Push-Up,Slow Tempo Typewriter Push-Up
8,One-Arm Push-Up,push,"[chest, triceps, anterior deltoids, core]","A push-up performed with only one arm, the other held behind the back. Feet placed wider for stability.",Incline One-Arm Push-Up,One-Arm Push-Up with Ball Assist,Full One-Arm Push-Up
9,Pseudo Planche Push-Up,push,"[anterior deltoids, chest, triceps, serratus anterior]","Hands placed near the hips with a forward lean, bridging the gap between push-ups and planche work.",Slight Forward Lean Push-Up,Hands at Hip Level Push-Up,Elevated Feet Pseudo Planche Push-Up
10,Hindu Push-Up,push,"[chest, anterior deltoids, triceps, core]",A flowing movement from downward dog through a swooping motion into cobra pose.,Small Range Hindu Push-Up,Full Hindu Push-Up,Decline Hindu Push-Up
11,Sphinx Push-Up,push,"[triceps, chest, anterior deltoids, core]","From plank, lower forearms to the floor then push back up. Mimics a bodyweight skull crusher.",Knee Sphinx Push-Up,Standard Sphinx Push-Up,Decline Sphinx Push-Up
12,Scapula Push-Up,push,"[serratus anterior, rhomboids, trapezius]","From high plank, keep arms straight and only protract and retract the shoulder blades.",Knee Scapula Push-Up,Standard Scapula Push-Up,Decline Scapula Push-Up
13,Spiderman Push-Up,push,"[chest, triceps, obliques, hip flexors]","During each push-up, bring one knee toward the same-side elbow, alternating sides.",Slow Spiderman Push-Up,Standard Spiderman Push-Up,Decline Spiderman Push-Up
14,Dive Bomber Push-Up,push,"[chest, anterior deltoids, triceps, core]",Similar to Hindu push-up but the return path reverses the swooping motion.,Partial Range Dive Bomber,Full Dive Bomber Push-Up,Decline Dive Bomber Push-Up
15,Ring Push-Up,push,"[chest, triceps, anterior deltoids, rotator cuff]","Push-up performed on gymnastic rings, greatly increasing stabilizer muscle recruitment.",Rings at Hip Height (Incline),Low Ring Push-Up,Ring Push-Up with Rings Turned Out
16,Maltese Push-Up,push,"[chest, anterior deltoids, biceps, serratus anterior]","Elite push-up with hands placed wide and low near the hips, fingers pointing outward.",Pseudo Planche Push-Up,Partial Maltese Lean Push-Up,Full Maltese Push-Up
17,Clap Push-Up,push,"[chest, triceps, anterior deltoids]",Explosive push-up where you clap hands in the air before landing.,Explosive Push-Up (no clap),Single Clap Push-Up,Double Clap Push-Up
18,Superman Push-Up,push,"[chest, triceps, anterior deltoids, core]","Explosive push-up where both hands and feet leave the ground, body fully extended in the air.",Clap Push-Up,Hands-and-Feet-Off Push-Up,Full Superman Push-Up (arms extended)
19,Pike Push-Up,push,"[anterior deltoids, lateral deltoids, triceps]","From an inverted V position, bend elbows and lower head toward the ground. Mimics overhead press.",Short Pike Push-Up,Tight Pike Push-Up,Elevated Pike Push-Up (feet on box)
20,Wall Handstand Push-Up,push,"[anterior deltoids, lateral deltoids, triceps, upper trapezius]",Kick up to handstand against wall and perform vertical push-ups.,Wall HSPU Negatives,Partial ROM Wall HSPU,Full ROM Wall HSPU
21,Deficit Handstand Push-Up,push,"[anterior deltoids, lateral deltoids, triceps]",Handstand push-up on parallettes allowing head to descend below hand level.,Small Deficit Wall HSPU,Full Deficit Wall HSPU,Freestanding Deficit HSPU
22,Freestanding Handstand Push-Up,push,"[anterior deltoids, lateral deltoids, triceps, core]","Handstand push-up without wall support, requiring balance and pressing strength.",Wall HSPU with Light Foot Contact,Freestanding HSPU (partial ROM),Freestanding Full ROM HSPU
23,90-Degree Handstand Push-Up,push,"[anterior deltoids, triceps, upper chest, core]","From handstand, lower to a 90-degree hold with body parallel to ground, then press back up.",Negative 90-Degree HSPU,Partial 90-Degree HSPU,Full 90-Degree HSPU
24,Bench Dip,push,"[triceps, anterior deltoids, chest]","Hands on a bench behind you, lower body by bending elbows then press back up.",Bent Knee Bench Dip,Straight Leg Bench Dip,Elevated Feet Bench Dip
25,Parallel Bar Dip,push,"[chest, triceps, anterior deltoids]","Lower yourself between parallel bars until upper arms are parallel, then press back up.",Half Dip (top half),Full Range Parallel Bar Dip,Weighted Parallel Bar Dip
26,Forward Lean Dip,push,"[chest, triceps, anterior deltoids]","Dip with intentional forward lean, shifting emphasis to the chest.",Slight Lean Dip,Full Forward Lean Dip,Weighted Forward Lean Dip
27,Straight Bar Dip,push,"[triceps, chest, anterior deltoids, core]","Dip on a single straight bar, important for muscle-up training.",Negative Straight Bar Dip,Full Straight Bar Dip,Straight Bar Dip with Forward Lean
28,Korean Dip,push,"[triceps, anterior deltoids, chest]","Dip with bar behind the body, requiring shoulder flexibility and pressing strength.",Partial Range Korean Dip,Full Korean Dip,Explosive Korean Dip
29,Ring Dip,push,"[chest, triceps, anterior deltoids, rotator cuff]",Dips on gymnastic rings requiring massive stabilizer engagement.,Band-Assisted Ring Dip,Standard Ring Dip,Ring Dip with Rings Turned Out
30,L-Sit Dip,push,"[triceps, chest, anterior deltoids, hip flexors, core]",Dip while holding legs straight out in L-sit position.,Tucked L-Sit Dip,Full L-Sit Dip on Bars,L-Sit Ring Dip
31,Planche Lean,push,"[anterior deltoids, chest, serratus anterior, core]","From push-up position, lean forward shifting weight over hands with arms straight.",Slight Lean (5-10 degrees),Moderate Lean (hands under chest),Maximum Lean (hands near hips)
32,Tuck Planche,push,"[anterior deltoids, chest, serratus anterior, triceps, core]","Isometric hold with knees tucked while balancing on straight arms, feet off ground.",Frog Stand / Crow Pose,Tuck Planche,Advanced Tuck Planche
33,Straddle Planche,push,"[anterior deltoids, chest, serratus anterior, triceps, core]","Planche hold with legs spread wide, reducing lever arm compared to full planche.",Banded Straddle Planche,Straddle Planche,Straddle Planche on Rings
34,Full Planche,push,"[anterior deltoids, chest, serratus anterior, triceps, core, glutes]","Elite isometric hold with entire body horizontal and straight, supported on hands with arms locked.",Straddle Planche,Full Planche (brief holds),Full Planche (sustained 5s+)
35,Planche Push-Up,push,"[anterior deltoids, chest, triceps, core]",Push-up performed while maintaining a planche position throughout.,Tuck Planche Push-Up,Straddle Planche Push-Up,Full Planche Push-Up
36,Ring Fly,push,"[chest, anterior deltoids, biceps]","On rings, let arms open wide then squeeze back together. Bodyweight dumbbell fly equivalent.",High Ring Fly (incline),Low Ring Fly,Ring Fly with Feet Elevated
37,Dead Hang,pull,"[forearms, grip, shoulders]","Hang from a bar with arms fully extended, building foundational grip strength and shoulder stability.",Two-Arm Dead Hang (10-30s),Single-Arm Dead Hang,Weighted Dead Hang
38,Scapular Pull-Up,pull,"[lower trapezius, rhomboids, serratus anterior]","From dead hang, retract and depress shoulder blades without bending arms.",Scapular Pull-Up (short holds),Scapular Pull-Up with Pause,Weighted Scapular Pull-Up
39,Inverted Row,pull,"[rhomboids, mid trapezius, lats, biceps]",Lie under a low bar and pull chest to bar. The bodyweight equivalent of a barbell row.,Bent-Knee Inverted Row,Straight-Leg Inverted Row,Feet-Elevated Inverted Row
40,Wide-Grip Inverted Row,pull,"[rear deltoids, rhomboids, upper trapezius]","Inverted row with hands wider than shoulder width, elbows flaring out.",Incline Wide Row,Horizontal Wide Row,Feet-Elevated Wide Row
41,Ring Row,pull,"[lats, rhomboids, biceps, core]","Inverted row on gymnastic rings, demanding greater stabilization.",High-Angle Ring Row,Horizontal Ring Row,Feet-Elevated Ring Row with Pause
42,One-Arm Inverted Row,pull,"[lats, rhomboids, biceps, obliques]","Inverted row pulling with one arm, developing unilateral strength.",Archer Inverted Row,One-Arm Row with Towel Assist,Full One-Arm Inverted Row
43,Standard Pull-Up,pull,"[lats, teres major, biceps, forearms]","Hang from a bar with palms facing away, pull chin over the bar.",Band-Assisted Pull-Up,Full Pull-Up (8-12 reps),Weighted Pull-Up
44,Chin-Up,pull,"[biceps, lats, brachialis]",Pull-up with palms facing you. Greater bicep activation than standard pull-up.,Band-Assisted Chin-Up,Full Chin-Up,Weighted Chin-Up
45,Wide-Grip Pull-Up,pull,"[upper lats, teres major, rear deltoids]","Pull-up with hands significantly wider than shoulder width, maximally targeting upper lats.",Band-Assisted Wide Pull-Up,Full Wide-Grip Pull-Up,Weighted Wide-Grip Pull-Up
46,Close-Grip Pull-Up,pull,"[mid lats, biceps, forearms]","Pull-up with hands close together, increasing range of motion.",Band-Assisted Close Grip,Full Close-Grip Pull-Up,Weighted Close-Grip Pull-Up
47,Neutral-Grip Pull-Up,pull,"[lats, biceps, brachialis, forearms]",Pull-up with palms facing each other on parallel handles. Most shoulder-friendly grip.,Band-Assisted Neutral Grip,Full Neutral-Grip Pull-Up,Weighted Neutral-Grip Pull-Up
48,Commando Pull-Up,pull,"[lats, biceps, brachialis, core]","Grip bar with hands stacked, pull up alternating head to each side.",Commando Dead Hang,Full Commando Pull-Up,Weighted Commando Pull-Up
49,L-Sit Pull-Up,pull,"[lats, biceps, abs, hip flexors]",Hold legs horizontally while performing a pull-up.,Tuck-Knee Pull-Up,L-Sit Pull-Up,V-Sit Pull-Up
50,Archer Pull-Up,pull,"[lats, biceps, rear deltoids, core]",Wide grip; pull body toward one hand while the other arm stays extended along the bar.,Assisted Archer (slight bend),Full Archer Pull-Up,Archer with Minimal Assist Contact
51,Typewriter Pull-Up,pull,"[lats, biceps, forearms, core]","Pull up to one side, traverse horizontally to the other while staying at top position.",Short-Range Typewriter,Full Typewriter Pull-Up,Slow-Tempo Typewriter Pull-Up
52,One-Arm Pull-Up,pull,"[lats, biceps, forearms, core]",Pull yourself up using only one arm. Requires extraordinary pulling strength.,Towel-Assisted One-Arm Pull-Up,One-Arm Negative Pull-Up,Full One-Arm Pull-Up
53,Towel Pull-Up,pull,"[forearms, lats, biceps]","Pull-ups gripping towels draped over bar, massively challenging grip strength.",Thick Towel Pull-Up (short ROM),Full Towel Pull-Up,One-Arm Towel Pull-Up
54,Explosive Pull-Up,pull,"[lats, biceps, shoulders]",Pull up with maximum force so chest reaches bar or higher.,Explosive Pull to Chin Height,Chest-to-Bar Pull-Up,Waist-to-Bar Pull-Up
55,Bar Muscle-Up,pull,"[lats, biceps, chest, triceps, core]",Pull yourself over the bar and transition into a dip position on top.,Banded Muscle-Up,Kipping Bar Muscle-Up,Strict Bar Muscle-Up
56,Ring Muscle-Up,pull,"[lats, biceps, chest, triceps, rotator cuff]",Muscle-up on rings requiring greater control through the transition.,False-Grip Ring Pull-Up,Kipping Ring Muscle-Up,Strict Ring Muscle-Up
57,Tuck Front Lever,pull,"[lats, core, rear deltoids, lower trapezius]","Hang from bar, tuck knees to chest, hold body horizontal face up.",Tuck Front Lever (tight tuck),Advanced Tuck Front Lever,One-Leg Front Lever
58,Full Front Lever,pull,"[lats, core, rear deltoids, biceps]",Hold body perfectly horizontal face-up with legs extended while hanging from bar.,Straddle Front Lever,Full Front Lever (brief holds),Full Front Lever (10s+ hold)
59,Front Lever Row,pull,"[lats, rhomboids, biceps, core]","From front lever position, perform a rowing motion pulling bar toward waist.",Tuck Front Lever Row,Advanced Tuck Front Lever Row,Full Front Lever Row
60,Skin the Cat,pull,"[shoulders, lats, biceps, core]","From dead hang, rotate body backward through inverted hang to German hang and back.",Tuck Skin the Cat,Pike Skin the Cat,Straight-Body Skin the Cat
61,Tuck Back Lever,pull,"[anterior deltoids, biceps, core, lats]","From inverted hang, lower into horizontal position face-down with knees tucked.",Tuck Back Lever (5-10s),Advanced Tuck Back Lever,Single-Leg Back Lever
62,Full Back Lever,pull,"[anterior deltoids, biceps, core, lats, chest]",Hold body horizontal face-down with legs extended. Extreme shoulder and bicep demand.,Straddle Back Lever,Full Back Lever (brief holds),Full Back Lever (10s+ hold)
63,Headbanger Pull-Up,pull,"[biceps, brachialis, forearms]","At top of pull-up, rock body toward and away from bar horizontally to isolate biceps.",Small ROM Headbangers,Full ROM Headbangers,Slow-Tempo Headbangers
64,Pelican Curl,pull,"[biceps, brachialis]","On rings, lean forward with arms behind, then curl back up. Hardest bodyweight bicep exercise.",Upright Pelican Curl (minimal lean),Moderate Lean Pelican Curl,Full Pelican Curl (near horizontal)
65,Ring Bicep Curl,pull,"[biceps, brachialis, forearms]","Hold rings, lean back with straight body, curl yourself up by bending only at elbows.",High-Angle Ring Curl,Low-Angle Ring Curl,Feet-Elevated Ring Curl
66,Ice Cream Maker,pull,"[lats, core, biceps, shoulders]","From top of pull-up, extend to front lever then pull back. Transitions repeatedly.",Tuck Ice Cream Maker,Straddle Ice Cream Maker,Full Ice Cream Maker
67,Ring Face Pull,pull,"[rear deltoids, rotator cuff, rhomboids]","Using rings, pull toward face with elbows high and externally rotate at top.",Standing Ring Face Pull,Inclined Ring Face Pull,Near-Horizontal Ring Face Pull
68,Bodyweight Squat,legs,"[quads, glutes, core]","Stand with feet shoulder-width apart, lower hips until thighs are parallel, then return to standing.",Assisted Squat (hands on chair),Full Bodyweight Squat,Deep Squat (full ROM)
69,Pistol Squat,legs,"[quads, glutes, hamstrings, core]",Full single-leg squat with non-working leg extended straight forward.,Single-Leg Box Squat (high box),Assisted Pistol Squat (TRX/pole),Full Pistol Squat (freestanding)
70,Shrimp Squat,legs,"[quads, glutes, hip flexors]","Single-leg squat with non-working leg held behind, heel toward glutes.",Assisted Shrimp Squat,Shrimp Squat (foot off floor),Full Shrimp Squat (hand gripping ankle)
71,Dragon Squat,legs,"[quads, glutes, adductors, hip rotators]",Advanced single-leg squat where non-working leg crosses behind like a dragon's tail.,Elevated Dragon Squat,Assisted Dragon Squat,Full Dragon Squat on Flat Ground
72,Skater Squat,legs,"[quads, glutes, hamstrings]","Single-leg squat with non-working leg floating behind, no hand hold.",Partial Range Skater Squat,Full Skater Squat (knee to pad),Deficit Skater Squat
73,Sissy Squat,legs,[quads],"Hips locked forward, lean backward, all movement at knee. Uniquely isolates quads.",Assisted Sissy Squat,Bodyweight Sissy Squat (half ROM),Full ROM Sissy Squat
74,Cossack Squat,legs,"[quads, adductors, glutes]","Deep lateral squat, one leg full depth while other extends straight to the side.",Lateral Squat (partial depth),Full Cossack Squat,Cossack Squat with Pause
75,Archer Squat,legs,"[quads, glutes, adductors]",Wide-stance squat shifting weight to one leg while other extends straight.,Partial Archer Squat,Full Archer Squat,Elevated Archer Squat
76,Bulgarian Split Squat,legs,"[quads, glutes, hamstrings]",Single-leg squat with rear foot elevated on bench behind you.,Standard Split Squat (both feet on ground),Bulgarian Split Squat,Deficit Bulgarian Split Squat
77,Hindu Squat,legs,"[quads, calves, glutes]",Flowing squat rising onto toes at bottom with arm swing for momentum.,Slow Tempo (5-10 reps),Moderate Pace (20-30 reps),High Rep Endurance (50+ reps)
78,Wall Sit,legs,"[quads, glutes, calves]","Isometric hold with back against wall, thighs parallel to floor.",Wall Sit at 45 Degrees,Wall Sit at 90 Degrees,Single-Leg Wall Sit
79,Forward Lunge,legs,"[quads, glutes, hamstrings]","Step forward into split stance, lower until both knees at 90 degrees.",Stationary Split Squat,Alternating Forward Lunges,Walking Lunges
80,Reverse Lunge,legs,"[glutes, hamstrings, quads]","Step backward into lunge. Easier on knees, more glute emphasis.",Assisted Reverse Lunge,Bodyweight Reverse Lunge,Deficit Reverse Lunge
81,Curtsy Lunge,legs,"[glutes, quads, adductors]",Step one leg diagonally behind the other into a cross-legged lunge.,Shallow Curtsy Lunge,Full Curtsy Lunge,Curtsy Lunge with Knee Drive
82,Lateral Lunge,legs,"[quads, adductors, glutes]","Step wide to one side, bending that knee while keeping other leg straight.",Partial Range Lateral Lunge,Full Lateral Lunge,Sliding Lateral Lunge
83,Nordic Hamstring Curl,legs,[hamstrings],"Kneeling with feet anchored, slowly lower torso toward floor using hamstring eccentric control.",Negative-Only with Hand Catch,Full Eccentric with Push-Up Assist,Full Concentric + Eccentric Nordic Curl
84,Sliding Leg Curl,legs,"[hamstrings, glutes]","Lying supine with heels on sliders, bridge up then slide feet away and back.",Double-Leg Partial Range,Double-Leg Full Range,Single-Leg Sliding Curl
85,Single-Leg Romanian Deadlift,legs,"[hamstrings, glutes, lower back]","Stand on one leg, hinge at hips, extend free leg behind as torso lowers.",Supported Single-Leg RDL (wall),Freestanding Bodyweight RDL,Slow Tempo Single-Leg RDL
86,Glute Bridge,legs,"[glutes, hamstrings]","Lying supine, knees bent, drive hips up by squeezing glutes.",Double-Leg Glute Bridge,Glute Bridge with 3s Hold,Single-Leg Glute Bridge
87,Hip Thrust,legs,"[glutes, hamstrings]","Shoulders on bench, feet on floor, drive hips to full extension.",Double-Leg Hip Thrust,Hip Thrust with Pause,Single-Leg Hip Thrust
88,Donkey Kick,legs,"[glutes, hamstrings]","From hands-and-knees, kick one bent leg back and up, squeezing glute at top.",Small Range Donkey Kick,Full Range with Hold,Straight-Leg Kickback
89,Step-Up,legs,"[quads, glutes, hamstrings]","Step onto a raised surface with one leg, drive through heel to stand on top.",Low Step (6-8 inches),Medium Step (12-16 inches),High Step (20-24 inches)
90,Step-Up with Knee Drive,legs,"[quads, glutes, hip flexors]","Step-up with explosive knee drive at the top, mimicking sprint mechanics.",Slow Knee Drive with Pause,Dynamic Knee Drive,Explosive Knee Drive (high step)
91,Deficit Step-Down,legs,"[quads, glutes]","Stand on raised surface, slowly lower one foot below edge. Eccentric quad exercise.",Small Deficit (4-6 inch step),Medium Deficit (8-12 inches),High Deficit with Hold at Bottom
92,Single-Leg Calf Raise,legs,"[gastrocnemius, soleus]","Calf raise on one foot, doubling the load compared to double-leg.",Single-Leg Calf Raise on Flat Ground,Single-Leg Calf Raise on Step Edge,"Single-Leg Slow Tempo Calf Raise (3s up, 3s down)"
93,Tibialis Raise,legs,[tibialis anterior],"Back against wall, raise toes toward shins. Strengthens front of shin.",Wall-Supported Tibialis Raise,Freestanding Tibialis Raise,Single-Leg Tibialis Raise
94,Jump Squat,legs,"[quads, glutes, calves]","From squat, explode upward into a jump, landing softly.",Quarter Jump Squat,Full Depth Jump Squat,Tuck Jump (knees to chest)
95,Box Jump,legs,"[quads, glutes, calves]","Jump from ground onto raised platform, landing softly with both feet.",Low Box (12-16 inches),Medium Box (20-24 inches),High Box (30+ inches)
96,Lunge Jump,legs,"[quads, glutes, hamstrings]","From lunge, jump and switch legs mid-air, landing in opposite lunge.",Step-Through Alternating Lunges,Lunge Jump with Switch,Continuous Rapid Alternating Lunge Jumps
97,Frog Jump,legs,"[quads, glutes, hamstrings, calves]","From deep squat, jump forward as far as possible, landing in squat.",Standing Broad Jump (single rep),Continuous Frog Jumps,Long-Distance Frog Jump Series
98,Skater Bound,legs,"[glutes, quads, adductors]","Leap laterally from one foot to the other, mimicking speed-skating.",Small Lateral Hops,Full Skater Bounds with Pause,Continuous Rapid Skater Bounds
99,Forearm Plank,core,"[rectus abdominis, transverse abdominis, erector spinae]","Hold a rigid body position on forearms and toes, straight line from head to heels.",Kneeling Plank,Standard Forearm Plank (30-60s),Long-Lever Plank (arms extended forward)
100,Side Plank,core,"[obliques, quadratus lumborum, gluteus medius]","Lateral hold on one forearm and side of foot, body in straight line.",Modified Side Plank (bottom knee bent),Full Side Plank (30-60s),Side Plank with Top Leg Raised
101,Side Plank with Rotation,core,"[obliques, transverse abdominis, shoulders]","From side plank, rotate top arm under torso then back up. Thread the needle.",Kneeling Thread the Needle,Full Side Plank Thread the Needle,Thread the Needle with Hold at Bottom
102,Hollow Body Hold,core,"[rectus abdominis, transverse abdominis, hip flexors]","Lying supine, lift shoulders and legs off ground, pressing lower back into floor.",Tucked Hollow Hold (knees bent),"Full Hollow Hold (arms overhead, 30s)",Weighted Hollow Hold
103,Hollow Body Rock,core,"[rectus abdominis, hip flexors, serratus anterior]",Maintain hollow body while rocking back and forth like a rocking chair.,Small-Amplitude Hollow Rocks (knees bent),Full Hollow Body Rocks,Weighted Hollow Body Rocks
104,Dead Bug,core,"[transverse abdominis, rectus abdominis, hip flexors]","Lying supine, alternately extend opposite arm and leg while keeping lower back pressed down.",Single-Limb Dead Bug,Standard Dead Bug (opposite arm + leg),Banded Dead Bug (5s eccentric)
105,L-Sit,core,"[hip flexors, rectus abdominis, quads, triceps]",Support body on hands with legs held horizontally forming an L shape.,Tucked L-Sit (knees bent),Single-Leg Extended L-Sit,Full L-Sit (15-30s hold)
106,V-Sit,core,"[hip flexors, rectus abdominis, quads, shoulders]",Advanced L-sit with legs raised above horizontal forming a V shape.,L-Sit on Parallettes,Straddle V-Sit,"Full V-Sit (legs together, past 90 degrees)"
107,Manna,core,"[hip flexors, rectus abdominis, rear deltoids, wrists]",Ultimate compression hold - legs raised past vertical behind body while on hands.,V-Sit with Backward Lean,Middle Split Hold (progressive lift),Full Manna (legs past vertical)
108,Dragon Flag,core,"[rectus abdominis, transverse abdominis, obliques, hip flexors]","On a bench, grip behind head, raise body to vertical then lower in straight line.",Tucked Dragon Flag,"Half-Lay Dragon Flag (hips extended, knees bent)",Full Dragon Flag (body straight)
109,Hanging Knee Raise,core,"[rectus abdominis, hip flexors, grip]",Hang from bar and raise knees toward chest without swinging.,Hanging Knee Raise (knees to waist),Hanging Knee Raise to Chest,Hanging Knee Raise with Pause
110,Hanging Leg Raise,core,"[rectus abdominis, hip flexors]",Hang from bar and raise straight legs to horizontal or higher.,Hanging Frog Raise,Hanging Leg Raise to L-Position,Full Hanging Leg Raise (toes to bar)
111,Windshield Wiper,core,"[obliques, rectus abdominis, hip flexors, grip]","Hang from bar, raise legs to bar, then rotate straight legs side to side.",Lying Windshield Wipers (on floor),Hanging Bent-Knee Windshield Wipers,Full Hanging Straight-Leg Windshield Wipers
112,Human Flag,core,"[obliques, lats, shoulders, core]","Hold body horizontally sideways on a vertical pole, one arm pushing one pulling.",Vertical Flag / Chamber Hold,Tucked Human Flag,Full Human Flag (body straight)
113,Ab Wheel Rollout,core,"[rectus abdominis, lats, shoulders]","Roll ab wheel forward extending body while resisting spinal extension, then pull back.",Kneeling Rollout (short range),Full Kneeling Rollout,Standing Ab Wheel Rollout
