exercise_name,exercise_url,muscle_categories,overview,instructions,tips,video_embed_url,video_thumbnail_url,video_description,video_upload_date,equipment_required,exercise_type,experience_level,force_type,mechanics,secondary_muscles,target_muscle_group
1 Leg Push Up Video Exercise Guide,https://www.muscleandstrength.com/exercises/1-leg-pushup.html,Bodyweight Exercises | Chest | Compound Exercises,"The 1 leg push up is a variation of the push up and an exercise used to target the push muscles of the body including the chest, shoulders, and triceps. The 1 leg push up will also provide a core and shoulder stability challenge as you work to maintain proper positioning throughout the entire range of motion.","Assume a quadruped position on the floor with your hands under your shoulders, toes tucked, and knees under hips. | Extend one leg at a time but only allow one foot to touch the floor. Assume a pushup position with the legs straight, elbows extended, and head in a neutral position looking at the floor. | Slowly descend to the floor by retracting the shoulder blades and unlocking the elbows. | Descend until the upper arms are parallel or your chest touches the floor. | Push back to the starting point by extending the elbows and driving your palms into the floor. | Repeat for the desired number of repetitions.","Your arms should resemble an arrow in the bottom position, not a “T”. Your spine should remain rigid throughout the entire exercise, think of the pushup as a moving plank. Squeeze your glutes and brace your abs before descending in order to keep the ribcage neutral. Keep the chin down and don’t look forward. Imagine you’re trying to push your thumbs together while completing the movement, this will improve activation of the pecs. Don’t allow the head to jut forward, the chest should touch at the same time as your nose. Think about trying to push yourself as far away from the floor as possible. Ensure you push all the way through the floor at the top of the repetition and allow your shoulder blades to move around your ribcage. Most folks cut the repetition short and don’t garner the full benefits as such.",https://www.youtube.com/embed/pd5ya77uEhc?rel=0,https://i.ytimg.com/vi/pd5ya77uEhc/maxresdefault.jpg,1 Leg Pushup instruction video & exercise guide! Learn how to do 1 leg pushup using correct technique for maximum results!,2009-09-16,Bodyweight,Strength,Beginner,Push (Bilateral),Compound,"Abs, Shoulders, Triceps",Chest
45 Degree Calf Raise (Toes In) Video Exercise Guide,https://www.muscleandstrength.com/exercises/toes-in-45-degree-calf-raise.html,Calves | Isolation Exercises | Machine Exercises,,"Load the desired weight on a 45-degree leg press and sit down on the seat. | Place the balls of your feet on the bottom edge of the foot plate and twist your ankles so that your feet are pointing in at one another. | Push the weight up and disengage the weight platform from the safety using the handles by your sides. | Slowly allow your toes to come back as far as possible. This is the starting position for the exercise. | Keeping your legs straight, slowly push your toes up as far as possible. | Squeeze the calf muscles, and then slowly lower the weight back to the starting position. | Repeat for desired reps.",The reason you point your toes in for this exercise is to emphasize the outer calf. Whether this technique is effective for outer calf training is still being debated amongst lifters. Make sure the balls of your feet are right on the edge of the foot plate. If you position them further in the exercise becomes easier. Use a full range of motion by allowing your toes to come right back and then raising them as far as possible. Keep the rep timing slow and control the weight - don't bounce!,https://player.vimeo.com/video/756793640?badge=0&amp;autopause=0&amp;quality_selector=1&amp;progress_bar=1&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Toes In 45 Degree Calf Raise instruction video & exercise guide! Learn how to do toes in 45 degree calf raise using correct technique for maximum results!,2009-09-16,Machine,Strength,Beginner,Push,Isolation,None,Calves
45 Degree Calf Raise (Toes Out) Video Exercise Guide,https://www.muscleandstrength.com/exercises/toes-out-45-degree-calf-raise.html,Calves | Isolation Exercises | Machine Exercises,,"Load the desired weight on a 45-degree leg press and sit down on the seat. | Place the balls of your feet on the bottom edge of the foot plate and twist your ankles so that your heels come together and your toes point out. | Push the weight up and disengage the weight platform from the safety using the handles by your sides. | Slowly allow your toes to come back as far as possible. This is the starting position for the exercise. | Keeping your legs straight, slowly push your toes up as far as possible. | Squeeze the calf muscles, and then slowly lower the weight back to the starting position. | Repeat for desired reps.","The reason you point your toes out for this exercise is to emphasize the inner calf. Whether this technique is effective for inner calf training is still being debated amongst lifters. Make sure the balls of your feet are right on the edge of the footplate. If you position them further in, the exercise becomes easier. Use a full range of motion by allowing your toes to come right back and then raising them as far as possible. Keep the rep timing slow and control the weight - don't bounce!",https://player.vimeo.com/video/756793617?badge=0&amp;autopause=0&amp;quality_selector=1&amp;progress_bar=1&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Toes Out 45 Degree Calf Raise instruction video & exercise guide! Learn how to do toes out 45 degree calf raise using correct technique for maximum results!,2009-09-16,Machine,Strength,Beginner,Push,Isolation,None,Calves
45 Degree Leg Press Calf Raise Video Exercise Guide,https://www.muscleandstrength.com/exercises/45-degress-calf-press.html,Calves | Isolation Exercises | Machine Exercises,"The leg press calf raise is a variation of the machine calf raise and an exercise used to build the muscles of the calves. The calves can be a very stubborn muscle group, so it’s important to target them with plenty of different angles and a with a high training frequency . This exercise can be incorporated into your leg days or full body days .","Load the machine with the desired weight and take a seat. | Sit down and position your feet on the sled with a shoulder width stance. | Take a deep breath, extend your legs, but keep the safeties locked (if possible). | Position your feet at the base of the platform and allow the heels to hang off. | Lower the heels by dorsiflexing the ankles until the calves are fully stretched. | Drive the weight back to the starting position by extending the ankles and flexing the calves. | Repeat for the desired number of repetitions.","SAFETY NOTE: Be extremely careful when re-positioning the feet at the base of the platform. If the safeties are not in place and you lose control of the platform, this could result in very serious injury. Keep the repetitions slow and controlled. Limit momentum and pause at the top to emphasize the contraction. If you experience any sort of pain or pressure in the back of the knee joint, keep a slight bend in the knee and avoid complete lockout. If the knee isn’t entirely locked out then ensure the position doesn’t change during the duration of the repetition. Limit depth of the heels if you feel any sort of stretch through the bottom of the foot during the exercise. Try to move through the ball of the foot rather than the base of the toes.",https://www.youtube.com/embed/RcKQbiL-ZOc?rel=0,https://i.ytimg.com/vi/RcKQbiL-ZOc/maxresdefault.jpg,45 Degree Calf Raise instruction video & exercise guide! Learn how to do 45 degree calf raise using correct technique for maximum results!,2009-09-16,Machine,Strength,Beginner,Push (Bilateral),Isolation,None,Calves
45 Degree Lying Tricep Extension (EZ Bar) Video Exercise Guide,https://www.muscleandstrength.com/exercises/ez-bar-back-of-the-head-lying-tricep-extension.html,EZ Bar Exercises | Isolation Exercises | Triceps,,"Sit on the end of a flat bench width a barbell on your thighs. | Grip the EZ-bar on the inner grips. Bring the bar up to your chest and lay down on your back. | Extend your arms straight up above your chest. | Keeping your arms straight move the bar back so it is angled out past your head. | Keeping your elbows fixed in place and not pointing out, slowly lower the bar until it is almost touching the top of your head or bench behind your head. | Pause, and then slowly extend your arms back to the starting position. | Do not lock your elbows out, and then repeat for desired reps.",Keep the rep timing slow and control the weight throughout the set. Keep the tension on your triceps by never extending your arms fully. Your elbows should be pointing down and not flaring out as you move the weight.,https://player.vimeo.com/video/756784245?h=41ce7d3c22&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,EZ Bar Back Of The Head Lying Tricep Extension instruction video & exercise guide! Learn how to do ez bar back of the head lying tricep extension using correct technique for maximum results!,2009-09-16,EZ Bar,Strength,Intermediate,Push,Isolation,None,Triceps
45 Degree Lying Tricep Extension Video Exercise Guide,https://www.muscleandstrength.com/exercises/back-of-the-head-lying-tricep-extension.html,Barbell Exercises | Isolation Exercises | Triceps,,"Sit on the end of a flat bench with a barbell on your thighs. | Grip the barbell with an overhand (palms facing down) with your hands about shoulder width apart. | Bring the bar up to your chest and lay down on your back. | Extend your arms straight up above your chest. | Keeping your arms straight, move the bar back to the position shown in the video above. | Keeping your elbows fixed in place and not pointing out, slowly lower the bar until it is almost touching the top of your head or bench behind your head. | Pause, and then slowly extend your arms back to the starting position. | Do not lock your elbows out, and then repeat for desired reps.",Some lifters prefer this to the regular skull crusher because the triceps must work harder and tension is maintained. You must keep your elbows in at your sides throughout the set and don't let them move forward or back. Do not lock your elbows out at the top of the movement as this takes tension off the triceps.,https://player.vimeo.com/video/756784188?h=1bb378d4fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Back Of The Head Lying Tricep Extension instruction video & exercise guide! Learn how to do back of the head lying tricep extension using correct technique for maximum results!,2009-09-16,Barbell,Strength,Beginner,Push,Isolation,None,Triceps
45 Degree Toe Raise Video Exercise Guide,https://www.muscleandstrength.com/exercises/45-degree-toe-raise.html,Calves | Isolation Exercises | Machine Exercises,,"Load the weight you want to use on a 45-degree leg press machine and sit down in the seat. | Position your feet on the top half of the foot plate at around hip with apart. | Push up slightly and unload the weight from the safety using the handles at your sides. | Keeping your legs fixed, slowly pull your toes back towards your body as far as you can. | Hold this position, and then lower the toes back down until they're almost resting on the plate. | Repeat movement for desired reps.","This exercise needs to be done slowly. The tibialis is a tiny muscle and does not require heavy weights to be trained. Hold the ""toes up"" position for a count of 2 for the best results.",https://player.vimeo.com/video/756793651?badge=0&amp;autopause=0&amp;quality_selector=1&amp;progress_bar=1&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Reverse 45 Degree Calf Raise instruction video & exercise guide! Learn how to do reverse 45 degree calf raise using correct technique for maximum results!,2009-09-16,Machine,Strength,Beginner,Push,Isolation,None,Calves
Abdominal Air Bike (AKA Bicycle) Video Exercise Guide,https://www.muscleandstrength.com/exercises/abdominal-air-bike.html,Abs | Bodyweight Exercises | Compound Exercises,The abdominal air bike is probably the most feared abdominal movement from anyone who’s performed an at-home ab workout video. The bicycle exercise targets the whole abdomen and places constant tension on the mid-section as you go through the motions on both sides. This exercise is an advanced variation of a crunch . It can be performed for timed sets or as a set with a fixed rep range.,"Lay supine in a relaxed position with your arms behind your head and legs straight. | Exhale as you raise one knee towards your face while driving the opposite elbow to the knee. | Once your abs are fully contracted, slowly lower yourself back to the starting position and repeat on the opposite side. | Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection. If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://www.youtube.com/embed/vV_sKNCpiVM?rel=0,https://i.ytimg.com/vi/vV_sKNCpiVM/maxresdefault.jpg,Abdominal Air Bike instruction video & exercise guide! Learn how to do abdominal air bike using correct technique for maximum results!,2009-09-16,Bodyweight,Strength,Beginner,Pull (Bilateral),Compound,None,Abs
Abdominal Pendulum Video Exercise Guide,https://www.muscleandstrength.com/exercises/abdominal-pendulum.html,Abs | Bodyweight Exercises | Isolation Exercises,,"Place a mat on the floor and lie down on your back. | Put your arms out at right angles to your body with your palms on the floor. | Keep your legs straight and your legs off the floor until they're at a right angle to the floor. This is the start of the exercise. | Rotating only at the hips, slowly lower your feet to one as far as possible without losing stability. | Do not pause, and raise your feet up and across to the opposite side. | This is one rep. Repeat for desired reps.",This exercise can also be done with a dumbbell held between the feet for some added intensity. For maximum benefit do the exercise slowly and lower feet as far as possible.,https://player.vimeo.com/video/877880949?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Abdominal Pendulum instruction video & exercise guide! Learn how to do abdominal pendulum using correct technique for maximum results!,2009-09-16,Bodyweight,Strength,Beginner,N/A,Isolation,None,Abs
Abominal Hip Thrust Video Exercise Guide,https://www.muscleandstrength.com/exercises/hip-thrusts.html,Abs | Bodyweight Exercises | Isolation Exercises,,"Grab a flat bench and lay down on your back with your feet hanging off one end. | Grasp the bench above your head and bring your legs up until they're pointing straight up towards the ceiling. This is the start of the exercise. | Press through your feet and raise your hips toward the ceiling, forming a straight line from your knees to your shoulders. | Slowly lower your hips back to the floor, keeping your core engaged. | Repeat for desired reps.","Make sure to tighten your core before lifting your hips. This ensures you're activating your abdominal muscles rather than relying too much on your lower back. Avoid using momentum. Focus on slowly lifting your hips and controlling the lowering phase to maximize muscle engagement. While your feet push through the floor, focus on using your abdominals to lift your hips. The goal is to engage the lower abs, not just the glutes. Inhale as you lower your hips, and exhale as you thrust upward, helping maintain rhythm and stability.",https://player.vimeo.com/video/877880915?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Hip Thrusts instruction video & exercise guide! Learn how to do hip thrusts using correct technique for maximum results!,2009-09-16,Bodyweight,Strength,Beginner,N/A,Isolation,None,Abs
