muscle_group,muscle_group_url,exercise_name,exercise_url,overview,description,force,mechanics,equipment,difficulty,primary_muscles,secondary_muscles,steps,image_url,scrape_status
Abductors,https://www.muscleandstrength.com/exercises/abductors.html,Cable Hip Abduction ,https://www.muscleandstrength.com/exercises/cable-hip-abduction.html,"The Cable Hip Abduction exercise targets the hip abductors, particularly the gluteus medius and minimus. This exercise helps strengthen the muscles responsible for stabilizing the hips and improving lateral movement. It's effective for toning the glutes, improving hip mobility , and enhancing overall lower body strength and balance. Proper form is crucial to avoid unnecessary strain on the hip joint and ensure maximum muscle activation.","The Cable Hip Abduction exercise targets the hip abductors, particularly the gluteus medius and minimus. This exercise helps strengthen the muscles responsible for stabilizing the hips and improving lateral movement. It's effective for toning the glutes, improving hip mobility , and enhancing overall lower body strength and balance. Proper form is crucial to avoid unnecessary strain on the hip joint and ensure maximum muscle activation.",N/A,Isolation,Cable,Beginner,Abductors,Glutes,"Attach an ankle strap to a low pulley on a cable machine. || Stand next to the pulley machine and attach the ankle strap to the ankle furthest from the pulley machine. || Stand with feet shoulder-width apart, and hold onto the machine or nearby support for balance. || Keeping your leg straight, lift the strapped leg out to the side, leading with the heel, and engage your glutes and hip muscles. || Pause, then slowly return your leg to the starting position with control, resisting the cable tension. || Perform the desired number of reps, then switch legs.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abductors.jpg,ok
Abductors,https://www.muscleandstrength.com/exercises/abductors.html,Hip Abduction Machine ,https://www.muscleandstrength.com/exercises/hip-abduction-machine.html,"The hip abduction machine exercise is an exercise used to strengthen the abductors. The abductors play a critical role in core stability and having strong abductors can result in better personal records on the squat and deadlift . From an aesthetic perspective, performing hip abduction isolation exercises assists in the development of a full pair of glutes and hips.","The hip abduction machine exercise is an exercise used to strengthen the abductors. The abductors play a critical role in core stability and having strong abductors can result in better personal records on the squat and deadlift . From an aesthetic perspective, performing hip abduction isolation exercises assists in the development of a full pair of glutes and hips.",Push (Bilateral),Isolation,Machine,Beginner,Abductors,"Abs, Glutes, Hamstrings","Setup in an upright position with your back against the pad and your spine neutral. || Exhale and push the legs apart as you open the pads. || Once your hips are fully externally rotated, slowly return to the starting position. || Repeat for the desired number of repetitions. || Experiment with foot and pelvis position. Depending upon the shape of your hip, you may need a slightly more internal or external starting position to fully maximize the contraction. Similarly, be mindful of your pelvic position - don’t allow the back to arch as this will tip the hips forward and place the adductors under excessive stretch before the contraction which can affect force output. If you can’t seem to figure out how to change the position of your pelvis while seated, experiment with changing the position of the torso (i.e. lean forward or push your back into the pad). || Similarly, be mindful of your pelvic position - don’t allow the back to arch as this will tip the hips forward and place the adductors under excessive stretch before the contraction which can affect force output. || If you can’t seem to figure out how to change the position of your pelvis while seated, experiment with changing the position of the torso (i.e. lean forward or push your back into the pad).",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abductors.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,3 Month Position Kettlebell Pullover ,https://www.muscleandstrength.com/exercises/3-month-position-kettlebell-pullover,The 3 month position kettlebell pullover is an exercise used to strengthen the muscles of the abs. The exercise stems from the plank exercise family tree. The 3 month position kettlebell pullover works as an anti-extension abdominal exercise in which you must keep the spine stable and your slowly lower the kettlebell overhead.,The 3 month position kettlebell pullover is an exercise used to strengthen the muscles of the abs. The exercise stems from the plank exercise family tree. The 3 month position kettlebell pullover works as an anti-extension abdominal exercise in which you must keep the spine stable and your slowly lower the kettlebell overhead.,Isometric,Isolation,Kettle Bells,Beginner,Abs,None,"Setup in a supine position with your legs in a 90/90 position (90 degree bend at the hips and knees) and your arms reaching towards the ceiling while holding a kettlebell by the horns. || While keeping the hips flexed, lower the kettlebell overhead as you exhale. || Return back to the starting position and repeat for the desired number of total repetitions. || Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath. || Move slowly but methodically. The goal is control within space, not simply completion of repetitions. || Ensure that you exhale as the arms move overhead. The goal is to keep the ribs down and prevent the lower back from hyperextending. || Similar to ab wheel rollouts, you may not have full range of motion initially but work with what you’ve got, then slowly increase over time.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Ab Crunch ,https://www.muscleandstrength.com/exercises/ab-crunch,"The abdominal crunch, or ab crunch, is a flexion based abdominal exercise. It is a very common movement that even the newest of beginner lifters have probably tried before. Most ab workouts include the ab crunch as it is thought to be one of the best core building exercises. However, instead of performing marathon sets of ab crunches, it is best to pair it with other ab movements such as the plank and hanging leg raise to get a complete ab workout. The ab crunch replaced the sit up as the corner stone ab exercise. This is because people believed the sit up involved too much flexion which lends itself to lower back pain. Thus, it was replaced by the ab crunch, which accomplished the same movement pattern without overextending the spine. Some may still experience low back pain performing the ab crunch. If this is the case, it is best to stick with ab exercises that focus more on stability and less on flexion such as the plank.","The abdominal crunch, or ab crunch, is a flexion based abdominal exercise. It is a very common movement that even the newest of beginner lifters have probably tried before. Most ab workouts include the ab crunch as it is thought to be one of the best core building exercises. However, instead of performing marathon sets of ab crunches, it is best to pair it with other ab movements such as the plank and hanging leg raise to get a complete ab workout. The ab crunch replaced the sit up as the corner stone ab exercise. This is because people believed the sit up involved too much flexion which lends itself to lower back pain. Thus, it was replaced by the ab crunch, which accomplished the same movement pattern without overextending the spine. Some may still experience low back pain performing the ab crunch. If this is the case, it is best to stick with ab exercises that focus more on stability and less on flexion such as the plank.",Pull (Bilateral),Isolation,Bodyweight,Beginner,Abs,None,"Lay supine in a relaxed position with your knees up and hands across your chest. || Exhale and squeeze your abs as you curl your upper body off the floor. || Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position. || Complete for the assigned number of repetitions. || Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection. || If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. || Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Abdominal Air Bike (AKA Bicycle) ,https://www.muscleandstrength.com/exercises/abdominal-air-bike.html,The abdominal air bike is probably the most feared abdominal movement from anyone who’s performed an at-home ab workout video. The bicycle exercise targets the whole abdomen and places constant tension on the mid-section as you go through the motions on both sides. This exercise is an advanced variation of a crunch . It can be performed for timed sets or as a set with a fixed rep range.,The abdominal air bike is probably the most feared abdominal movement from anyone who’s performed an at-home ab workout video. The bicycle exercise targets the whole abdomen and places constant tension on the mid-section as you go through the motions on both sides. This exercise is an advanced variation of a crunch . It can be performed for timed sets or as a set with a fixed rep range.,Pull (Bilateral),Compound,Bodyweight,Beginner,Abs,None,"Lay supine in a relaxed position with your arms behind your head and legs straight. || Exhale as you raise one knee towards your face while driving the opposite elbow to the knee. || Once your abs are fully contracted, slowly lower yourself back to the starting position and repeat on the opposite side. || Complete for the assigned number of repetitions. || Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection. || If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. || Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Barbell Abdominal Rollouts ,https://www.muscleandstrength.com/exercises/abdominal-barbell-rollouts.html,,,N/A,Compound,Barbell,Intermediate,Abs,Shoulders,"Load a barbell with round plates and place it on the floor. || Kneel behind the bar and grip it with both hands, shoulder-width apart. || Position your shoulders over the bar and engage your core. || Slowly roll the barbell forward, extending your body as far as you can without arching your lower back. || Pause briefly at the extended position, keeping your core tight. || Pull the barbell back toward your knees by contracting your abs, returning to the starting position. || Repeat for the desired number of reps, maintaining control throughout.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Abdominal Pendulum ,https://www.muscleandstrength.com/exercises/abdominal-pendulum.html,,,N/A,Isolation,Bodyweight,Beginner,Abs,None,"Place a mat on the floor and lie down on your back. || Put your arms out at right angles to your body with your palms on the floor. || Keep your legs straight and your legs off the floor until they're at a right angle to the floor. This is the start of the exercise. || Rotating only at the hips, slowly lower your feet to one as far as possible without losing stability. || Do not pause, and raise your feet up and across to the opposite side. || This is one rep. Repeat for desired reps.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Alternating Reach And Catch ,https://www.muscleandstrength.com/exercises/alternate-reach-and-catch.html,,,N/A,Isolation,Bodyweight,Beginner,Abs,None,"Set up for the alternate reach and catch by placing a mat on the floor and laying down on your back. || Keeping your feet together, pull your feet in toward your torso so that your knees are raised off the floor. || Take both hands and place them on your right thigh, your shoulder blades should be slightly off the floor. This is the start of the exercise. || Crunch your abs, pulling your hands up your right thigh until you reach your knee. Slowly lower back to start. || Slide your hands over to your left thigh and repeat the movement. This is one rep.\",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Alternate Straight Leg Lower ,https://www.muscleandstrength.com/exercises/alternate-straight-leg-lowering,The alternating straight leg lower is an exercise used to strengthen the muscles of the abs. The alternating straight leg lower utilizing a slow eccentric to place tension on the core as you fight to stabilize your body during the range of motion. It is an anti-extension based ab exercise.,The alternating straight leg lower is an exercise used to strengthen the muscles of the abs. The alternating straight leg lower utilizing a slow eccentric to place tension on the core as you fight to stabilize your body during the range of motion. It is an anti-extension based ab exercise.,Isometric,Compound,Bodyweight,Beginner,Abs,None,"Setup in a supine position with your legs straight, hips flexed, and arms by your sides. || Slowly lower one leg as you exhale and maintain the position of hip flexion on the other side. || Return back to the starting position and repeat on the opposite side. || Repeat for the desired number of total repetitions. || Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath. Use your breath to drive abdominal activation, exhale as you lower the leg. || Use your breath to drive abdominal activation, exhale as you lower the leg. || Move slowly but methodically. The goal is control within space, not simply completion of repetitions. || The heel doesn’t have to touch the floor. In fact, in most cases it will actually generate compensations if someone is missing end range hip extension. || If you find that you can’t keep the position of hip flexion on the non working leg, then wrap a band around your foot and pull down gently on the band with your hands. This will help to enhance motor control during the completion of repetitions.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Banded Alphabet ,https://www.muscleandstrength.com/exercises/band-alphabet,The banded alphabet is an exercise used to strength the core and works the abdominals through stabilization. The banded alphabet is an intermediate variation of the pallof press and should only be attempted once earlier variations have been mastered.,The banded alphabet is an exercise used to strength the core and works the abdominals through stabilization. The banded alphabet is an intermediate variation of the pallof press and should only be attempted once earlier variations have been mastered.,Isometric,Compound,Bands,Intermediate,Abs,None,"Attach a band to a stable object at roughly chest height. || Grasp the band with an overlapping grip and assume an athletic position with your feet slightly wider than shoulder width apart. || Press the band horizontally to extension and begin by drawing each letter of the alphabet in a slow, controlled fashion. || Once you have completed the desired number of letters, repeat on the opposite side. || You can also perform a single arm version of this movement which addresses a little more shoulder stability and slightly less core stability. || The majority of motion should take place at the shoulders, the goal is to resist spinal motion. || Keep a slight bend in your knees as you draw the letters, this will help to get your joints stacked and avoid hyperextension. || Don’t hold your breath, the goal should be to utilize respiration to drive further abdominal activation.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
